Date,Crude,Heating
1996-11-29,23.62,30.156
1996-12-06,25.15,31.164
1996-12-13,24.26,29.316
1996-12-20,25.85,31.038
1996-12-27,25.01,29.736
1997-01-03,25.64,30.114
1997-01-10,26.34,30.66
1997-01-17,25.44,29.316
1997-01-24,24.5,27.972
1997-01-31,24.27,28.728
1997-02-07,23.48,26.46
1997-02-14,22.23,25.62
1997-02-21,22.17,24.654
1997-02-28,20.8,23.52
1997-03-07,20.71,22.386
1997-03-14,20.64,22.638
1997-03-21,21.77,23.394
1997-03-28,20.85,23.52
1997-04-04,19.75,22.638
1997-04-11,19.39,22.512
1997-04-18,19.68,22.806
1997-04-25,19.95,23.352
1997-05-02,20.01,23.604
1997-05-09,19.94,22.554
1997-05-16,21.51,23.898
1997-05-23,21.63,24.234
1997-05-30,20.86,23.436
1997-06-06,19.98,22.68
1997-06-13,18.68,21.672
1997-06-20,18.85,21.714
1997-06-27,19.25,22.008
1997-07-04,19.96,22.722
1997-07-11,19.45,22.092
1997-07-18,19.51,22.134
1997-07-25,19.51,22.302
1997-08-01,20.08,23.226
1997-08-08,20.33,23.814
1997-08-15,20,23.226
1997-08-22,19.89,22.932
1997-08-29,19.49,22.008
1997-09-05,19.57,22.386
1997-09-12,19.4,22.008
1997-09-19,19.41,22.386
1997-09-26,20.12,23.436
1997-10-03,21.6,24.864
1997-10-10,22.06,25.158
1997-10-17,20.83,24.15
1997-10-24,20.97,24.318
1997-10-31,20.91,24.15
1997-11-07,20.63,24.318
1997-11-14,20.62,24.444
1997-11-21,19.8,23.772
1997-11-28,19.57,22.974
1997-12-05,18.71,22.344
1997-12-12,18.4,21.966
1997-12-19,18.29,21.798
1997-12-26,18.3,21.294
1998-01-02,17.57,20.664
1998-01-09,16.84,19.95
1998-01-16,16.44,19.446
1998-01-23,16.14,19.194
1998-01-30,17.23,20.076
1998-02-06,16.64,19.446
1998-02-13,16.24,18.942
1998-02-20,16.06,18.816
1998-02-27,15.38,17.976
1998-03-06,15.23,17.976
1998-03-13,14.21,17.01
1998-03-20,13.89,16.758
1998-03-27,16.5,18.942
1998-04-03,15.82,18.27
1998-04-10,15.45,18.06
1998-04-17,15.45,18.27
1998-04-24,15.34,18.186
1998-05-01,15.58,18.354
1998-05-08,15.43,18.48
1998-05-15,14.98,17.892
1998-05-22,14.12,16.842
1998-05-29,14.97,16.506
1998-06-05,14.96,16.506
1998-06-12,13.44,16.17
1998-06-19,11.95,15.582
1998-06-26,14.14,16.464
1998-07-03,14.28,16.338
1998-07-10,13.83,15.876
1998-07-17,14.37,16.128
1998-07-24,13.81,15.162
1998-07-31,14.2,14.952
1998-08-07,13.74,15.204
1998-08-14,13.02,14.532
1998-08-21,13.24,14.49
1998-08-28,13.54,14.658
1998-09-04,14,15.834
1998-09-11,14.36,16.674
1998-09-18,14.77,17.094
1998-09-25,15.74,17.682
1998-10-02,15.77,17.598
1998-10-09,14.99,17.136
1998-10-16,14.18,16.17
1998-10-23,13.78,16.128
1998-10-30,14.26,16.296
1998-11-06,14.11,16.422
1998-11-13,13.57,15.918
1998-11-20,12.34,14.784
1998-11-27,12.14,14.112
1998-12-04,11.19,13.356
1998-12-11,11.09,13.482
1998-12-18,11.44,13.986
1998-12-25,11.12,13.482
1999-01-01,11.75,13.944
1999-01-08,12.66,14.868
1999-01-15,12.58,14.448
1999-01-22,12.26,13.524
1999-01-29,12.4,13.608
1999-02-05,12.17,13.398
1999-02-12,11.77,12.726
1999-02-19,11.68,12.684
1999-02-26,12.4,13.482
1999-03-05,12.87,14.07
1999-03-12,14.19,15.708
1999-03-19,14.84,16.464
1999-03-26,15.64,17.514
1999-04-02,16.66,18.438
1999-04-09,16.44,17.85
1999-04-16,16.76,17.892
1999-04-23,17.92,18.27
1999-04-30,18.22,18.396
1999-05-07,18.66,18.858
1999-05-14,18.04,18.144
1999-05-21,17.27,17.052
1999-05-28,17.11,16.842
1999-06-04,16.76,16.842
1999-06-11,17.96,18.06
1999-06-18,18.2,18.942
1999-06-25,18.09,18.858
1999-07-02,19.01,19.866
1999-07-09,19.8,21.084
1999-07-16,20.15,21.588
1999-07-23,20.01,21.21
1999-07-30,20.59,21.672
1999-08-06,20.53,22.302
1999-08-13,21.45,23.268
1999-08-20,21.61,23.814
1999-08-27,21.22,23.604
1999-09-03,21.92,24.108
1999-09-10,23.01,25.368
1999-09-17,24.29,25.746
1999-09-24,24.5,25.578
1999-10-01,24.54,26.04
1999-10-08,22.77,24.444
1999-10-15,22.38,24.402
1999-10-22,22.6,24.864
1999-10-29,22.58,24.948
1999-11-05,22.72,25.368
1999-11-12,24.2,26.838
1999-11-19,25.96,28.308
1999-11-26,26.79,29.022
1999-12-03,25.44,27.51
1999-12-10,26.16,27.51
1999-12-17,26.21,28.182
1999-12-24,26.04,28.896
1999-12-31,26.31,29.4
2000-01-07,24.87,27.846
2000-01-14,26.29,28.812
2000-01-21,29.06,35.406
2000-01-28,27.7,38.01
2000-02-04,28.05,33.978
2000-02-11,28.82,31.248
2000-02-18,29.87,31.71
2000-02-25,29.83,32.76
2000-03-03,31.11,33.768
2000-03-10,32.2,32.592
2000-03-17,31.29,30.618
2000-03-24,28.04,29.61
2000-03-31,26.99,31.248
2000-04-07,25.69,27.594
2000-04-14,24.87,27.552
2000-04-21,26.31,30.744
2000-04-28,25.44,31.458
2000-05-05,26.76,28.56
2000-05-12,28.71,30.954
2000-05-19,29.84,32.76
2000-05-26,29.57,32.382
2000-06-02,29.96,31.752
2000-06-09,29.88,31.374
2000-06-16,32.49,32.466
2000-06-23,32.11,32.802
2000-06-30,32.16,34.608
2000-07-07,30.31,33.18
2000-07-14,30.52,33.516
2000-07-21,30.74,33.222
2000-07-28,28,31.92
2000-08-04,28.42,33.138
2000-08-11,30.15,34.734
2000-08-18,31.87,36.918
2000-08-25,31.87,39.522
2000-09-01,33.09,41.496
2000-09-08,34.44,42
2000-09-15,34.65,43.218
2000-09-22,35.45,42.252
2000-09-29,31.14,39.102
2000-10-06,31.41,39.858
2000-10-13,33.87,42.546
2000-10-20,33.21,40.488
2000-10-27,33.31,41.412
2000-11-03,32.8,39.48
2000-11-10,33.49,40.74
2000-11-17,35.1,44.352
2000-11-24,35.26,45.99
2000-12-01,34.01,43.386
2000-12-08,29.68,41.454
2000-12-15,28.96,39.144
2000-12-22,27.4,37.254
2000-12-29,26.44,38.556
2001-01-05,27.83,36.204
2001-01-12,28.78,34.986
2001-01-19,30.63,35.448
2001-01-26,29.99,35.616
2001-02-02,29.56,33.6
2001-02-09,30.96,34.524
2001-02-16,29.71,32.55
2001-02-23,28.74,31.164
2001-03-02,27.88,30.828
2001-03-09,28.46,30.87
2001-03-16,27.06,30.03
2001-03-23,26.55,29.988
2001-03-30,26.83,32.13
2001-04-06,26.64,29.904
2001-04-13,28.05,32.592
2001-04-20,28.02,33.222
2001-04-27,27.69,31.71
2001-05-04,28.4,31.584
2001-05-11,28.09,31.878
2001-05-18,29.07,32.592
2001-05-25,29.22,33.684
2001-06-01,28.38,32.424
2001-06-08,28.05,32.088
2001-06-15,28.92,33.81
2001-06-22,26.98,31.626
2001-06-29,26.33,30.072
2001-07-06,26.86,30.324
2001-07-13,27.12,29.82
2001-07-20,25.36,28.518
2001-07-27,26.6,29.484
2001-08-03,27.02,29.946
